OBJECTID,metro line,metro_station_num,metro station_name,municipal district,x-longitude,y-latitude,job-worker ratio 2011,job-worker ratio 2012,job-worker ratio 2013,job-worker ratio 2014,job-worker ratio 2015
97,Line 4,457,Caishikou,Xicheng District,116.374,39.8893,0.947082768,1.173541384,1.4,1.299916458,1.265432099
98,Line 2,209,Chongwenmen,Dongcheng District,116.419,39.9011,1.23578669,0.813953488,1.269068788,1.460708263,1.585365854
99,Line 2,208,Qianmen,Dongcheng District,116.398,39.9002,0.434520548,0.404901961,0.443221321,0.667239404,0.593160377
100,Line 2,207,Hepingmen,Xicheng District,116.384,39.9001,0.77826087,0.575645756,0.848545637,0.965594615,0.932523617
101,Line 2,206,Xuanwumen,Xicheng District,116.374,39.8998,2.23059867,1.4004914,2.811416922,2.516108654,2.796875
102,Line 2,205,Changchunjie,Xicheng District,116.363,39.8994,0.606277112,0.524064171,0.6812159,0.859442994,0.927068037
103,Yizhuang T1 Line,9625,Xiaohongmen,Chaoyang District,116.459,39.8279,0.080898876,0.060773481,0.096654275,0.182656827,0.086894587
104,Yizhuang T1 Line,9623,Xiaocun,Chaoyang District,116.441,39.8331,0.352941176,0.413793103,0.473333333,0.691202873,0.584664537
105,Line 10,9029,Chengshousi,Fengtai District,116.44,39.8459,NA,NA,0.29950495,0.320278184,0.242894057
106,Line 10,9027,Zhongfensi,Fengtai District,116.454,39.8523,NA,NA,0.050105263,0.085659712,0.084257206
107,Line 10,9025,Shilihe,Chaoyang District,116.458,39.8664,NA,NA,0.543252595,0.569134701,0.52211127
108,Line 10,1043,Jinsong,Chaoyang District,116.461,39.8844,0.35,0.280476456,0.400065854,0.546517539,0.458399745
109,Line 10,1041,Shuangjing,Chaoyang District,116.461,39.8935,0.99554731,0.686936053,1.51964512,1.597266036,1.507356948
110,Line 7,755,Happy Valley Scenic Area,Chaoyang District,116.5,39.8685,NA,NA,NA,NA,0.083106267
111,Line 7,753,Nanlouzizhuang,Chaoyang District,116.501,39.8744,NA,NA,NA,NA,0.244444444
112,Line 7,751,Huagong,Chaoyang District,116.504,39.8867,NA,NA,NA,NA,2
113,Line 7,749,Baiziwan,Chaoyang District,116.5,39.8931,NA,NA,NA,NA,1.084677419
114,Line 7,747,Dajiaoting,Chaoyang District,116.488,39.8931,NA,NA,NA,NA,4.17037037
115,Line 7,745,Jiulongshan,Chaoyang District,116.478,39.8933,NA,NA,NA,NA,1.515555556
116,Line 7,741,Guangqumen Outer,Dongcheng District,116.443,39.8937,NA,NA,NA,NA,1.162464986
117,Line 7,759,Shuanghe,Chaoyang District,116.526,39.86,NA,NA,NA,NA,0.032629559
118,Batong Line,9711,Liyuan,Tongzhou District,116.669,39.8836,0.074074074,0.086461889,0.077379348,0.093388728,0.056134454
119,Batong Line,9710,Jiukeshu,Tongzhou District,116.657,39.8902,0.159474672,0.302238806,0.250469043,0.275648949,0.218218218
120,Batong Line,9708,Tongzhou Beiyuan,Tongzhou District,116.637,39.9038,0.05931657,0.06483439,0.081335214,0.157219694,0.093820225
121,Batong Line,9712,Linheli,Tongzhou District,116.679,39.8753,0.226158038,0.20323741,0.097987752,0.126609442,0.05754386
122,Line 6,677,Lucheng,Tongzhou District,116.749,39.9029,NA,NA,NA,NA,0.029776675
123,Line 6,675,Dongxiayuan,Tongzhou District,116.736,39.9034,NA,NA,NA,NA,0.025423729
124,Line 6,673,Haojiafu,Tongzhou District,116.718,39.9033,NA,NA,NA,NA,0.03255814
125,Line 6,669,North Canal West,Tongzhou District,116.686,39.9042,NA,NA,NA,NA,0.03331277
126,Batong Line,9707,Balqiao,Tongzhou District,116.619,39.9061,0.073142857,0.081280788,0.07366985,0.142166344,0.068901304
127,Batong Line,9706,Guanzhuang,Chaoyang District,116.599,39.909,0.122058824,0.175642088,0.174911661,0.228624535,0.140609137
128,Line 6,665,Tongzhou Beiguan,Tongzhou District,116.656,39.9227,NA,NA,NA,NA,0.052631579
129,Line 6,661,Caofang,Chaoyang District,116.616,39.9243,NA,NA,0.097486413,0.146481876,0.13005618
130,Line 6,659,Changying,Chaoyang District,116.599,39.9256,NA,NA,0.096256684,0.143610013,0.155925156
131,Batong Line,9705,Shuangqiao,Chaoyang District,116.577,39.9103,0.151721664,0.290204678,0.253684681,0.305237969,0.230169051
132,Batong Line,9704,Communication University of China,Chaoyang District,116.554,39.9092,0.153183341,0.175080559,0.150029189,0.228752643,0.167789001
133,Batong Line,9703,Gaobeidian,Chaoyang District,116.532,39.9095,1.614545455,1.929577465,2.721362229,2.476280835,2.670289855
134,Line 6,657,Huangqu,Chaoyang District,116.578,39.9243,NA,NA,0.077653149,0.147455867,0.127527216
135,Line 6,653,Qingnianlu,Chaoyang District,116.518,39.9231,NA,NA,0.370347773,0.54408298,0.51042471
136,Line 14,1479,Jiangtai,Chaoyang District,116.483,39.9734,NA,NA,NA,NA,4.176715177
137,Line 14,1477,Dongfeng North Bridge,Chaoyang District,116.479,39.9612,NA,NA,NA,NA,0.666666667
138,Line 10,1037,Jintaixizhao,Chaoyang District,116.462,39.9168,13.43478261,15.58737864,26.175,9.279746835,31.02255639
139,Line 10,1033,Tuanjiehu,Chaoyang District,116.462,39.9346,2.140965732,2.460754332,3.125778331,2.66790871,3.429107981
140,Line 10,1031,Agricultural Exhibition Center,Chaoyang District,116.462,39.9414,1.87434555,2.582733813,2.047945205,1.887356322,3.150326797
141,Line 10,1029,Liangmaqiao,Chaoyang District,116.462,39.9496,2.913569576,3.134453782,3.54965358,2.913254966,5.517105263
142,Line 10,1027,Sanyuanqiao,Chaoyang District,116.457,39.9614,3.250859107,3.459574468,3.908080808,2.672785829,4.034965035
